,away_score,away_team,home_score,home_team,month,date,year,game_date,home_win
0,81,川崎,72,千葉,10,04,2018,2018-10-04,-1
1,84,琉球,67,秋田,10,06,2018,2018-10-06,-1
2,64,京都,77,三遠,10,06,2018,2018-10-06,1
3,78,新潟,73,滋賀,10,06,2018,2018-10-06,-1
4,74,大阪,68,北海道,10,06,2018,2018-10-06,-1
5,68,川崎,66,千葉,10,06,2018,2018-10-06,-1
6,71,SR渋谷,73,A東京,10,06,2018,2018-10-06,1
7,75,三河,80,名古屋D,10,06,2018,2018-10-06,1
8,82,横浜,94,富山,10,06,2018,2018-10-06,1
9,79,栃木,67,福岡,10,06,2018,2018-10-06,-1
10,77,横浜,101,富山,10,07,2018,2018-10-07,1
11,53,大阪,70,北海道,10,07,2018,2018-10-07,1
12,71,琉球,66,秋田,10,07,2018,2018-10-07,-1
13,93,京都,88,三遠,10,07,2018,2018-10-07,-1
14,71,新潟,75,滋賀,10,07,2018,2018-10-07,1
15,82,栃木,73,福岡,10,07,2018,2018-10-07,-1
16,79,SR渋谷,87,A東京,10,07,2018,2018-10-07,1
17,93,三河,96,名古屋D,10,07,2018,2018-10-07,1
18,74,秋田,84,新潟,10,11,2018,2018-10-11,1
19,84,富山,104,栃木,10,12,2018,2018-10-12,1
20,64,滋賀,76,川崎,10,12,2018,2018-10-12,1
21,92,秋田,104,新潟,10,12,2018,2018-10-12,1
22,80,横浜,84,京都,10,12,2018,2018-10-12,1
23,56,福岡,73,大阪,10,12,2018,2018-10-12,1
24,87,名古屋D,88,琉球,10,12,2018,2018-10-12,1
25,77,A東京,69,三河,10,13,2018,2018-10-13,-1
26,81,横浜,87,京都,10,13,2018,2018-10-13,1
27,65,福岡,89,大阪,10,13,2018,2018-10-13,1
28,68,名古屋D,79,琉球,10,13,2018,2018-10-13,1
29,80,滋賀,68,川崎,10,13,2018,2018-10-13,-1
30,60,三遠,70,千葉,10,13,2018,2018-10-13,1
31,80,富山,85,栃木,10,13,2018,2018-10-13,1
32,66,北海道,67,SR渋谷,10,13,2018,2018-10-13,1
33,76,北海道,57,SR渋谷,10,14,2018,2018-10-14,-1
34,65,A東京,55,三河,10,14,2018,2018-10-14,-1
35,56,三遠,73,千葉,10,14,2018,2018-10-14,1
36,93,千葉,63,北海道,10,17,2018,2018-10-17,-1
37,79,栃木,74,A東京,10,17,2018,2018-10-17,-1
38,63,秋田,58,SR渋谷,10,17,2018,2018-10-17,-1
39,60,三河,69,川崎,10,17,2018,2018-10-17,1
40,88,富山,84,横浜,10,17,2018,2018-10-17,-1
41,48,三遠,61,新潟,10,17,2018,2018-10-17,1
42,76,福岡,89,名古屋D,10,17,2018,2018-10-17,1
43,64,大阪,60,滋賀,10,17,2018,2018-10-17,-1
44,89,琉球,94,京都,10,17,2018,2018-10-17,1
45,71,福岡,72,秋田,10,20,2018,2018-10-20,1
46,96,琉球,63,三遠,10,20,2018,2018-10-20,-1
47,72,北海道,70,栃木,10,20,2018,2018-10-20,-1
48,67,川崎,89,A東京,10,20,2018,2018-10-20,1
49,64,SR渋谷,74,三河,10,20,2018,2018-10-20,1
50,90,新潟,98,千葉,10,20,2018,2018-10-20,1
51,76,滋賀,80,横浜,10,20,2018,2018-10-20,1
52,71,京都,90,富山,10,20,2018,2018-10-20,1
53,76,名古屋D,63,大阪,10,20,2018,2018-10-20,-1
54,64,京都,95,富山,10,21,2018,2018-10-21,1
55,53,福岡,73,秋田,10,21,2018,2018-10-21,1
56,70,滋賀,72,横浜,10,21,2018,2018-10-21,1
57,91,琉球,60,三遠,10,21,2018,2018-10-21,-1
58,80,名古屋D,70,大阪,10,21,2018,2018-10-21,-1
59,70,北海道,79,栃木,10,21,2018,2018-10-21,1
60,87,新潟,94,千葉,10,21,2018,2018-10-21,1
61,46,川崎,66,A東京,10,21,2018,2018-10-21,1
62,71,SR渋谷,76,三河,10,21,2018,2018-10-21,1
63,77,栃木,74,秋田,10,24,2018,2018-10-24,-1
64,78,北海道,110,千葉,10,24,2018,2018-10-24,1
65,62,A東京,61,SR渋谷,10,24,2018,2018-10-24,-1
66,65,三遠,56,川崎,10,24,2018,2018-10-24,-1
67,88,新潟,72,横浜,10,24,2018,2018-10-24,-1
68,71,富山,94,三河,10,24,2018,2018-10-24,1
69,84,名古屋D,77,滋賀,10,24,2018,2018-10-24,-1
70,81,京都,72,福岡,10,24,2018,2018-10-24,-1
71,48,大阪,81,琉球,10,24,2018,2018-10-24,1
72,60,川崎,68,琉球,10,26,2018,2018-10-26,1
73,75,川崎,72,琉球,10,27,2018,2018-10-27,-1
74,78,福岡,90,名古屋D,10,27,2018,2018-10-27,1
75,84,横浜,79,SR渋谷,10,27,2018,2018-10-27,-1
76,54,三遠,77,新潟,10,27,2018,2018-10-27,1
77,75,秋田,90,富山,10,27,2018,2018-10-27,1
78,77,A東京,67,京都,10,27,2018,2018-10-27,-1
79,80,千葉,69,大阪,10,27,2018,2018-10-27,-1
80,80,秋田,98,富山,10,28,2018,2018-10-28,1
81,73,横浜,77,SR渋谷,10,28,2018,2018-10-28,1
82,91,三遠,72,新潟,10,28,2018,2018-10-28,-1
83,70,A東京,79,京都,10,28,2018,2018-10-28,1
84,77,千葉,63,大阪,10,28,2018,2018-10-28,-1
85,86,栃木,72,北海道,10,28,2018,2018-10-28,-1
